Дата видачі кредиту,№ договору,Сумма кредиту,Загальна заборгованість,Сімейний стан,Стать,Наявність утриманців,Область реєстрації,Сектор діяльності,Строк кредиту,Кількість днів прострочення,Наявність простроченної заборгованості понад 30 днів ,Рейтинговий бал зовнішній,Статус,results Kasianova,results Chernenko,result Lzkhovetskyi
12/28/2019,578,90 000,41 250,14,99,0,З,62.50,27,0,0,68400,1,0,28%,0
12/31/2019,580,140 000,100 654,14,99,0,Б,87.21,27,0,1,65600,1,0,34%,0
1/1/2020,584,40 000,28 803,n/a,88,0,Б,60.110,27,0,0,65000,1,0,36%,0
1/3/2020,591,80 000,49 294,14,99,1,В,60.22,15,63,1,61600,1,0,10%,0
1/7/2020,594,50 000,15 224,14,88,0,Ї,60.22,15,0,0,43800,1,0,27%,0
1/9/2020,601,80 000,44 593,14,88,0,Б,69.21,15,0,0,44400,1,1,27%,1
1/10/2020,603,60 000,53 700,11,99,0,Й,59.101,27,176,1,67000,1,1,41%,1
1/14/2020,611,120 000,95 087,11,88,0,Ї,99.34,27,0,0,61800,1,0,41%,0
1/15/2020,618,100 000,79 239,12,99,0,Б,95.110,27,0,1,52400,1,1,34%,0
1/17/2020,619,100 000,0,11,99,0,О,62.52,27,0,0,54200,1,0,41%,0
1/18/2020,623,60 000,0,14,99,0,М,60.82,15,0,1,67400,1,0,16%,0
1/21/2020,626,60 000,0,11,99,0,Б,60.63,27,0,1,57200,1,0,41%,0
1/22/2020,637,120 000,91 800,11,88,0,Б,69.21,27,0,1,47200,1,1,58%,0
1/23/2020,639,380 000,0,n/a,99,0,П,51.22,21,0,0,92200,1,1,4%,0
1/23/2020,645,80 000,80 000,12,88,2,Б,59.29,27,217,1,50800,1,1,33%,0
8/16/2020,651,120 000,97 560,11,99,0,Б,60.110,24,0,0,61800,1,0,20%,0
8/21/2020,653,170 000,155 833,14,99,1,А,59.84,24,0,0,67800,1,0,8%,0
8/26/2020,658,400 000,312 974,n/a,88,0,С,59.50,24,0,0,76600,1,0,11%,0
8/28/2020,663,100 000,83 800,14,99,0,Д,36.81,24,0,0,78600,1,0,4%,0
9/6/2020,667,170 000,162 917,14,99,2,А,59.49,24,0,0,66800,1,0,10%,0
9/11/2020,674,50 000,45 830,14,99,1,Г,60.34,12,0,0,60200,1,1,10%,0
9/14/2020,678,350 000,0,14,99,1,С,59.101,12,0,0,97000,1,0,3%,0
9/19/2020,684,120 000,112 270,13,88,1,Р,60.82,24,0,0,48400,1,0,19%,0
9/24/2020,689,190 000,182 083,11,88,1,Т,60.84,24,0,0,0,1,0,19%,0
9/27/2020,693,150 000,137 500,14,99,4,Б,60.63,12,0,0,69800,1,0,8%,0
9/30/2020,700,50 000,45 500,13,99,0,Б,62.52,12,0,0,48000,1,0,27%,0
